date,cgpi
1999/1/31,95.88 
1999/2/28,96.38 
1999/3/31,96.56 
1999/4/30,96.74 
1999/5/31,97.00 
1999/6/30,96.81 
1999/7/31,96.89 
1999/8/31,97.17 
1999/9/30,97.25 
1999/10/31,97.33 
1999/11/30,97.50 
1999/12/31,97.38 
2000/1/31,97.56 
2000/2/29,97.46 
2000/3/31,97.79 
2000/4/30,98.17 
2000/5/31,98.21 
2000/6/30,98.67 
2000/7/31,99.18 
2000/8/31,99.43 
2000/9/30,99.43 
2000/10/31,99.68 
2000/11/30,99.83 
2000/12/31,100.21 
2001/1/31,100.42 
2001/2/28,99.96 
2001/3/31,100.22 
2001/4/30,100.45 
2001/5/31,100.23 
2001/6/30,99.93 
2001/7/31,99.58 
2001/8/31,99.12 
2001/9/30,98.87 
2001/10/31,98.50 
2001/11/30,98.00 
2001/12/31,97.47 
2002/1/31,96.95 
2002/2/28,97.31 
2002/3/31,96.64 
2002/4/30,96.64 
2002/5/31,97.17 
2002/6/30,97.60 
2002/7/31,97.34 
2002/8/31,97.57 
2002/9/30,97.92 
2002/10/31,98.26 
2002/11/30,98.87 
2002/12/31,99.47 
2003/1/31,100.59 
2003/2/28,101.01 
2003/3/31,101.74 
2003/4/30,101.59 
2003/5/31,100.97 
2003/6/30,100.83 
2003/7/31,101.49 
2003/8/31,101.91 
2003/9/30,102.17 
2003/10/31,103.67 
2003/11/30,105.47 
2003/12/31,106.31 
2004/1/31,106.76 
2004/2/29,107.01 
2004/3/31,108.34 
2004/4/30,109.26 
2004/5/31,109.44 
2004/6/30,109.28 
2004/7/31,109.35 
2004/8/31,109.48 
2004/9/30,109.62 
2004/10/31,108.17 
2004/11/30,106.33 
2004/12/31,105.33 
2005/1/31,104.67 
2005/2/28,104.82 
2005/3/31,103.48 
2005/4/30,102.81 
2005/5/31,103.16 
2005/6/30,103.01 
2005/7/31,102.72 
2005/8/31,102.13 
2005/9/30,101.43 
2005/10/31,100.93 
2005/11/30,100.71 
2005/12/31,100.76 
2006/1/31,101.10 
2006/2/28,100.70 
2006/3/31,100.80 
2006/4/30,101.00 
2006/5/31,101.50 
2006/6/30,102.30 
2006/7/31,102.50 
2006/8/31,102.90 
2006/9/30,103.60 
2006/10/31,103.80 
2006/11/30,104.10 
2006/12/31,105.10 
2007/1/31,104.60 
2007/2/28,104.50 
2007/3/31,104.20 
2007/4/30,104.60 
2007/5/31,105.10 
2007/6/30,105.40 
2007/7/31,106.10 
2007/8/31,106.50 
2007/9/30,106.20 
2007/10/31,106.50 
2007/11/30,107.40 
2007/12/31,107.60 
2008/1/31,108.40 
2008/2/29,109.20 
2008/3/31,110.20 
2008/4/30,110.30 
2008/5/31,109.60 
2008/6/30,109.50 
2008/7/31,109.40 
2008/8/31,108.20 
2008/9/30,107.00 
2008/10/31,104.00 
2008/11/30,99.60 
2008/12/31,96.90 
2009/1/31,95.80 
2009/2/28,94.00 
2009/3/31,93.40 
2009/4/30,92.90 
2009/5/31,92.40 
2009/6/30,92.00 
2009/7/31,92.00 
2009/8/31,92.90 
2009/9/30,94.10 
2009/10/31,96.30 
2009/11/30,100.40 
2009/12/31,103.40 
2010/1/31,104.50 
2010/2/28,105.70 
2010/3/31,105.60 
2010/4/30,106.60 
2010/5/31,107.10 
2010/6/30,106.60 
2010/7/31,105.90 
2010/8/31,106.00 
2010/9/30,106.10 
2010/10/31,107.80 
2010/11/30,108.60 
2010/12/31,107.90 
2011/1/31,108.00 
2011/2/28,108.70 
2011/3/31,109.30 
2011/4/30,108.50 
2011/5/31,108.80 
2011/6/30,109.50 
2011/7/31,109.70 
2011/8/31,108.90 
2011/9/30,108.40 
2011/10/31,105.90 
2011/11/30,103.20 
2011/12/31,102.30 
2012/1/31,101.30 
2012/2/29,100.60 
2012/3/31,100.30 
2012/4/30,99.90 
2012/5/31,98.90 
2012/6/30,97.50 
2012/7/31,96.30 
2012/8/31,96.10 
2012/9/30,96.20 
2012/10/31,97.30 
2012/11/30,98.00 
2012/12/31,98.40 
2013/1/31,98.90 
2013/2/28,98.90 
2013/3/31,98.30 
2013/4/30,97.90 
2013/5/31,97.70 
2013/6/30,98.10 
2013/7/31,98.80 
2013/8/31,99.30 
2013/9/30,99.60 
2013/10/31,99.70 
2013/11/30,99.60 
2013/12/31,99.30 
2014/1/31,98.60 
2014/2/28,97.70 
2014/3/31,97.60 
2014/4/30,97.80 
2014/5/31,98.60 
2014/6/30,98.90 
2014/7/31,99.10 
2014/8/31,98.60 
2014/9/30,97.60 
2014/10/31,96.90 
2014/11/30,96.40 
2014/12/31,95.60 
2015/1/31,94.40 
2015/2/28,94.20 
2015/3/31,94.60 
2015/4/30,94.70 
2015/5/31,94.50 
2015/6/30,94.20 
2015/7/31,93.30 
2015/8/31,93.00 
2015/9/30,92.70 
2015/10/31,92.60 
2015/11/30,92.30 
2015/12/31,92.70 
2016/1/31,93.40 
2016/2/29,93.90 
2016/3/31,94.90 
2016/4/30,96.00 
2016/5/31,96.20 
2016/6/30,96.60 
2016/7/31,97.90 
2016/8/31,98.70 
2016/9/30,100.20 
2016/10/31,101.70 
2016/11/30,104.50 
2016/12/31,106.80 
2017/1/31,108.50 
2017/2/28,109.30 
2017/3/31,108.40 
2017/4/30,106.80 
2017/5/31,106.20 
2017/6/30,106.10 
2017/7/31,105.80 
2017/8/31,106.70 
