date,fai_source,fai_complete
1992-02-29,0,125.82
1992-03-31,0,315.36
1992-04-30,0,523.81
1992-05-31,0,799.11
1992-06-30,0,1170.98
1992-07-31,0,1483.85
1992-08-31,0,1814.05
1992-09-30,0,2192.07
1992-10-31,0,2609.35
1992-11-30,0,3064.11
1992-12-31,0,5854.6046
1993-02-28,0,227.99
1993-03-31,0,516.33
1993-04-30,0,851.4
1993-05-31,0,1312.48
1993-06-30,0,1916.2
1993-07-31,0,2432.65
1993-08-31,0,2931.38
1993-09-30,0,3495.53
1993-10-31,0,4126.02
1993-11-30,0,4820.91
1993-12-31,0,9688.9629
1994-02-28,0,278.88
1994-03-31,0,676.1
1994-04-30,0,1152.77
1994-05-31,0,1726.61
1994-06-30,0,2616.76
1994-07-31,0,3488.67
1994-08-31,0,4155.76
1994-09-30,0,4956.14
1994-10-31,0,5710.47
1994-11-30,0,6563.05
1994-12-31,0,12862.52
1995-02-28,0,443.67
1995-03-31,0,1117.85
1995-04-30,0,1799.78
1995-05-31,0,2619.44
1995-06-30,0,3763.75
1995-07-31,0,4720.13
1995-08-31,0,5750.89
1995-09-30,0,6891.83
1995-10-31,0,7963.89
1995-11-30,0,9090.65
1995-12-31,0,15643.7
1996-02-29,542.6,474.94
1996-03-31,1611.33,1298.71
1996-04-30,2448.6,2093.14
1996-05-31,3468.99,3126.45
1996-06-30,5117.47,4666.48
1996-07-31,6531.87,5860.98
1996-08-31,7157.65,6963.83
1996-09-30,8328.96,8269.45
1996-10-31,9358.23,9496.79
1996-11-30,10550.84,10888.58
1996-12-31,16529.71,17567.2
1997-02-28,660.48,588.59
1997-03-31,1815.5,1478.17
1997-04-30,2741.43,2424.59
1997-05-31,3958.38,3563.39
1997-06-30,5631.56,5291.42
1997-07-31,6679.13,6391.95
1997-08-31,7897.45,7644.6
1997-09-30,9155.74,9081.56
1997-10-31,10522.66,10612.5
1997-11-30,11919.74,12200.76
1997-12-31,18063.54,19194.2
1998-02-28,830.92,653.75
1998-03-31,1967.82,1618.16
1998-04-30,3077.15,2713.38
1998-05-31,4474.46,4005.7
1998-06-30,6301.04,5827.86
1998-07-31,7795.67,7361.84
1998-08-31,9248.49,8943.08
1998-09-30,10933.22,10863.61
1998-10-31,12715.31,12815.42
1998-11-30,14635.42,15035.1
1998-12-31,20708.56,22491.4
1999-02-28,998.8,845.19
1999-03-31,2348.06,2022.83
1999-04-30,3677.84,3269.99
1999-05-31,5136.84,4750.25
1999-06-30,6943.13,6686.57
1999-07-31,8457.67,8297.64
1999-08-31,9850.71,9908.15
1999-09-30,11472.73,11764.17
1999-10-31,13136.05,13746.8
1999-11-30,15130.19,16108.32
1999-12-31,21261.4,23732
2000-02-29,1289.95,954.87
2000-03-31,2759.47,2235.36
2000-04-30,4156.05,3611.19
2000-05-31,5710.65,5232.62
2000-06-30,7875,7537.61
2000-07-31,9582.8,9382.52
2000-08-31,11284.2,11194.68
2000-09-30,13344.07,13470.48
2000-10-31,15284.66,15687.13
2000-11-30,17505.62,18191.01
2000-12-31,23781.86,26221.85
2001-02-28,1554.45,1130.73
2001-03-31,3467.75,2560.19
2001-04-30,5272.01,4235.73
2001-05-31,7239.69,6199.14
2001-06-30,9936.03,8928.03
2001-07-31,12125.18,11111.13
2001-08-31,14039.31,13311.23
2001-09-30,16378.34,15919.44
2001-10-31,18631.77,18423.79
2001-11-30,20927.47,21163.72
2001-12-31,27912.05,30001.2
2002-02-28,2025.33,1407.99
2002-03-31,4351.51,3263.69
2002-04-30,6687.96,5416.42
2002-05-31,9170.14,7827.64
2002-06-30,12467.03,11103.52
2002-07-31,15322.51,13794
2002-08-31,18132.32,16535
2002-09-30,21089.93,19788.13
2002-10-31,23966.15,22869.16
2002-11-30,26914.24,26119
2002-12-31,33998.04,35488.8
2003-02-28,3210.4,1936.44
2003-03-31,6419.72,4478.58
2003-04-30,9665.23,7264.89
2003-05-31,13443.37,10577.8
2003-06-30,18410.73,15072.64
2003-07-31,22230.01,18753.33
2003-08-31,26025.42,22365
2003-09-30,30136.2,26512.58
2003-10-31,34015.71,30466.52
2003-11-30,37903.87,34618.03
2003-12-31,45801.79,45811.7
2004-02-29,5908.13,3287.03
2004-03-31,10625.78,7058.48
2004-04-30,15217,11047.44
2004-05-31,19991.91,15437.2
2004-06-30,26413.2,21843.97
2004-07-31,31614.01,27115.8
2004-08-31,36637.12,32185.95
2004-09-30,42342.55,38028.34
2004-10-31,47567.71,43556.28
2004-11-30,53043.48,49274.32
2004-12-31,62757.52,59028.2
2005-02-28,7287.24,4221.78
2005-03-31,13033.75,9036.68
2005-04-30,18892,14024.67
2005-05-31,25082.45,19719.32
2005-06-30,33593.59,27967
2005-07-31,40503.81,34637.16
2005-08-31,46848.82,41150.9
2005-09-30,54065.92,48741.49
2005-10-31,60867.39,55792.12
2005-11-30,68059.63,63259.85
2005-12-31,80912.33,75095.1
2006-02-28,9398.3,5294.1
2006-03-31,17543.81,11608.4
2006-04-30,24720.54,18005.66
2006-05-31,32564.37,25443.47
2006-06-30,44127.49,36368.35
2006-07-31,52837.37,44771.01
2006-08-31,60400.46,52593.66
2006-09-30,69446.05,61880.12
2006-10-31,77691.17,70070.52
2006-11-30,86591.62,79312.1
2006-12-31,101759.13,93368.68
2007-02-28,11003.69,6535.01
2007-03-31,20874.04,14543.61
2007-04-30,30170.11,22594.41
2007-05-31,40296.49,32044.78
2007-06-30,55008.57,46077.82
2007-07-31,66103.57,56697.83
2007-08-31,76777.83,66659
2007-09-30,88764.22,78246.78
2007-10-31,100141.22,88953.32
2007-11-30,112368.72,100604.61
2007-12-31,130743.45,117464.47
2008-02-29,13748.65,8121.29
2008-03-31,26124.54,18316.94
2008-04-30,37183.03,28410.07
2008-05-31,49865.33,40264.2
2008-06-30,68223.2,58435.98
2008-07-31,82057.16,72160.08
2008-08-31,94918.04,84919.69
2008-09-30,109575.8,99870.71
2008-10-31,122459.33,113189.07
2008-11-30,136151.68,127614.14
2008-12-31,158579.68,148738.3
2009-02-28,18366.55,10275.79
2009-03-31,34685.19,23562
2009-04-30,50037.93,37082.3
2009-05-31,68294.97,53520.32
2009-06-30,94855.94,78098.35
2009-07-31,113619.8,95932.01
2009-08-31,132007.03,112984.79
2009-09-30,152772.47,133176.6
2009-10-31,171378.95,150709.76
2009-11-30,189486.7,168634.2
2009-12-31,218786.67,193920.39
2010-02-28,25749.84,13014.03
2010-03-31,48117.11,29792.68
2010-04-30,67595.93,46742.75
2010-05-31,91349.45,67358.3
2010-06-30,122522.37,98047.38
2010-07-31,145605.34,119866.25
2010-08-31,167040.2,140997.74
2010-09-30,192427.66,165869.58
2010-10-31,215219,187556.1
2010-11-30,238441,210697.86
2010-12-31,273124.58,241430.89
2011-02-28,33253.59,17444.16
2011-03-31,60167.95,39464.91
2011-04-30,86377.2,62716.23
2011-05-31,116931.26,90254.51
2011-06-30,154236.36,124566.68
2011-07-31,183552.38,152419.86
2011-08-31,212193.93,180607.62
2011-09-30,243950.05,212273.99
2011-10-31,273866.21,241365.09
2011-11-30,302617.99,269452.12
2011-12-31,336895.1039,302396.0592
2012-02-29,38710.9523,21188.8252
2012-03-31,70971.4867,47865.3977
2012-04-30,100834.0776,75591.6004
2012-05-31,136807.0349,108924.2109
2012-06-30,180950.1881,150710.0635
2012-07-31,215061.4703,184311.7845
2012-08-31,250022.9703,217958.0719
2012-09-30,289407.6654,256932.8949
2012-10-31,325964.3852,292541.9951
2012-11-30,360483.1804,326236.1733
2012-12-31,399835.0565,364854.1459
2013-02-28,47930.7685,25675.9182
2013-03-31,84899.2183,58092.2759
2013-04-30,121939.5329,91319.1773
2013-05-31,164468.0347,131210.6495
2013-06-30,217401.0435,181317.6
2013-07-31,259237.3496,221722.232
2013-08-31,301363.5915,262578.0813
2013-09-30,348539.8861,309207.5739
2013-10-31,391748.4826,351669.2492
2013-11-30,433419.4114,391282.527
2013-12-31,481065.8506,435747.4256
2014-02-28,54927.3568,30283.0294
2014-03-31,95743.7992,68321.7145
2014-04-30,137131.7095,107077.8331
2014-05-31,185835.0847,153716.4861
2014-06-30,246051.376,212770.4486
2014-07-31,292733.5266,259492.9131
2014-08-31,340080.7082,305786.4814
2014-09-30,391140.6015,357787.1843
2014-10-31,439059.2388,406160.604
2014-11-30,481887.6122,451067.578
2014-12-31,530833.1476,501264.9
2015-02-28,58614.7762,34477.4129
2015-03-31,102671.858,77511.2536
2015-04-30,146177.1949,119978.5041
2015-05-31,196926.9942,171245.4032
2015-06-30,261506.9923,237131.8661
2015-07-31,312572.2283,288468.5045
2015-08-31,363140.6273,338977.3613
2015-09-30,417716.997,394531.0378
2015-10-31,471059.4337,447424.8814
2015-11-30,520145.0991,497182.15
2015-12-31,573788.9662,551590.0383
2016-02-29,59324.4917,38007.7968
2016-03-31,109249.6618,85842.8332
2016-04-30,158076.9552,132591.9525
2016-05-31,212521.267,187670.982
2016-06-30,282443.334,258359.9564
2016-07-31,336169.0414,311694.3331
2016-08-31,385535.4327,366339.1868
2016-09-30,442238.2753,426906.441
2016-10-31,496675.2623,484429.0177
2016-11-30,548462.1667,538547.98
2016-12-31,606968.5868,596500.752
2017-02-28,54575.1751,41377.8884
2017-03-31,106081.1275,93777.0557
2017-04-30,155792.684,144326.8423
2017-05-31,212280.8471,203718.2668
2017-06-30,286274.5542,280604.8292
2017-07-31,341073.4994,337409.4861
2017-08-31,396206.5749,394150.13
2017-09-30,457006.9954,458478.1785
