date,nci
2004/1/2,-30.00 
2004/1/9,-150.00 
2004/1/16,260.00 
2004/1/23,-50.00 
2004/1/30,-300.00 
2004/2/6,-200.00 
2004/2/13,-170.00 
2004/2/20,-270.00 
2004/2/27,-300.00 
2004/3/5,-350.00 
2004/3/12,-350.00 
2004/3/19,-450.00 
2004/3/26,-246.00 
2004/4/2,-185.00 
2004/4/9,-429.00 
2004/4/16,67.50 
2004/4/23,100.00 
2004/4/30,300.00 
2004/5/14,-178.00 
2004/5/21,-700.00 
2004/5/28,150.00 
2004/6/4,-11.80 
2004/6/11,200.00 
2004/6/18,300.00 
2004/6/25,251.70 
2004/7/2,-20.00 
2004/7/9,-181.00 
2004/7/16,-472.00 
2004/7/23,-70.00 
2004/7/30,170.00 
2004/8/6,-20.00 
2004/8/13,180.00 
2004/8/20,250.00 
2004/8/27,180.00 
2004/9/3,170.00 
2004/9/10,-60.00 
2004/9/17,-350.00 
2004/9/24,-130.30 
2004/10/1,120.00 
2004/10/8,200.00 
2004/10/15,-450.00 
2004/10/22,-670.00 
2004/10/29,-440.00 
2004/11/5,-180.00 
2004/11/12,-20.00 
2004/11/19,-90.00 
2004/11/26,-310.00 
2004/12/3,-260.00 
2004/12/10,-420.00 
2004/12/17,-500.00 
2004/12/24,-50.00 
2004/12/31,-300.00 
2005/1/7,-380.00 
2005/1/14,-1000.00 
2005/1/21,300.00 
2005/1/28,600.00 
2005/2/4,430.00 
2005/2/11,150.00 
2005/2/18,20.00 
2005/2/25,-1330.00 
2005/3/4,-1250.00 
2005/3/11,-650.00 
2005/3/18,-350.00 
2005/3/25,-285.40 
2005/4/1,-115.00 
2005/4/8,-320.00 
2005/4/15,-435.50 
2005/4/22,-650.00 
2005/4/29,-350.00 
2005/5/13,-422.00 
2005/5/20,150.00 
2005/5/27,-350.00 
2005/6/3,-250.00 
2005/6/10,-400.00 
2005/6/17,50.00 
2005/6/24,-350.00 
2005/7/1,-450.00 
2005/7/8,-200.00 
2005/7/15,70.00 
2005/7/22,-260.00 
2005/7/29,-250.00 
2005/8/5,-320.00 
2005/8/12,-120.00 
2005/8/19,-220.00 
2005/8/26,-70.00 
2005/9/2,90.00 
2005/9/9,0.00 
2005/9/16,-170.00 
2005/9/23,-350.00 
2005/9/30,-550.00 
2005/10/14,-310.00 
2005/10/21,-450.00 
2005/10/28,-610.00 
2005/11/4,-520.00 
2005/11/11,-730.00 
2005/11/18,-482.00 
2005/11/25,-260.00 
2005/12/2,-200.00 
2005/12/9,150.00 
2005/12/16,0.00 
2005/12/23,450.00 
2005/12/30,-430.00 
2006/1/6,50.00 
2006/1/13,-410.00 
2006/1/20,1050.00 
2006/1/27,2083.00 
2006/2/10,-2523.00 
2006/2/17,-1860.00 
2006/2/24,-800.00 
2006/3/3,-300.00 
2006/3/10,-800.00 
2006/3/17,-1150.00 
2006/3/24,0.00 
2006/3/31,150.00 
2006/4/7,-800.00 
2006/4/14,-500.00 
2006/4/21,1030.00 
2006/4/28,290.00 
2006/5/12,450.00 
2006/5/19,-818.00 
2006/5/26,100.00 
2006/6/2,50.00 
2006/6/9,0.00 
2006/6/16,-500.00 
2006/6/23,-350.00 
2006/6/30,-750.00 
2006/7/7,150.00 
2006/7/14,-1300.00 
2006/7/21,770.00 
2006/7/28,20.00 
2006/8/4,-140.90 
2006/8/11,118.70 
2006/8/18,230.00 
2006/8/25,170.00 
2006/9/1,-220.00 
2006/9/8,-50.00 
2006/9/15,-750.00 
2006/9/22,-400.00 
2006/9/29,520.00 
2006/10/13,-100.00 
2006/10/20,30.00 
2006/10/27,-780.00 
2006/11/3,-490.00 
2006/11/10,260.00 
2006/11/17,240.00 
2006/11/24,380.00 
2006/12/1,290.00 
2006/12/8,250.00 
2006/12/15,-730.00 
2006/12/22,-720.50 
2006/12/29,850.00 
2007/1/5,-400.00 
2007/1/12,-2000.00 
2007/1/19,-1760.00 
2007/1/26,-700.00 
2007/2/2,-850.00 
2007/2/9,2280.00 
2007/2/16,2230.00 
2007/3/2,-1140.00 
2007/3/9,-2860.00 
2007/3/16,-1720.00 
2007/3/23,-830.00 
2007/3/30,-520.00 
2007/4/6,-1000.00 
2007/4/13,-300.00 
2007/4/20,0.00 
2007/4/27,230.00 
2007/5/11,-1240.00 
2007/5/18,1130.00 
2007/5/25,150.00 
2007/6/1,640.00 
2007/6/8,370.00 
2007/6/15,1000.00 
2007/6/22,-10.00 
2007/6/29,-30.00 
2007/7/6,129.00 
2007/7/13,-310.00 
2007/7/20,-370.00 
2007/7/27,-320.00 
2007/8/3,-1119.10 
2007/8/10,-578.70 
2007/8/17,-1050.00 
2007/8/24,-220.00 
2007/8/31,100.00 
2007/9/7,-1450.00 
2007/9/14,1400.00 
2007/9/21,940.00 
2007/9/28,970.00 
2007/10/12,-270.00 
2007/10/19,480.00 
2007/10/26,1220.00 
2007/11/2,515.00 
2007/11/9,-115.00 
2007/11/16,-80.00 
2007/11/23,475.00 
2007/11/30,-690.00 
2007/12/7,400.00 
2007/12/14,795.00 
2007/12/21,-1119.50 
2007/12/28,-1530.00 
2008/1/4,2350.00 
2008/1/11,-2950.00 
2008/1/18,2080.00 
2008/1/25,3250.00 
2008/2/1,550.00 
2008/2/8,800.00 
2008/2/15,-2960.00 
2008/2/22,-960.00 
2008/2/29,-1640.00 
2008/3/7,-2260.00 
2008/3/14,-2210.00 
2008/3/21,-1080.00 
2008/3/28,-1580.00 
2008/4/4,760.00 
2008/4/11,1170.00 
2008/4/18,-710.00 
2008/4/25,-1600.00 
2008/5/2,150.00 
2008/5/9,-580.00 
2008/5/16,660.00 
2008/5/23,980.00 
2008/5/30,-220.00 
2008/6/6,530.00 
2008/6/13,1240.00 
2008/6/20,540.00 
2008/6/27,790.00 
2008/7/4,16.00 
2008/7/11,-510.00 
2008/7/18,-330.00 
2008/7/25,100.00 
2008/8/1,140.00 
2008/8/8,390.00 
2008/8/15,-890.00 
2008/8/22,-285.00 
2008/8/29,-420.00 
2008/9/5,-1190.00 
2008/9/12,-1310.00 
2008/9/19,-1680.00 
2008/9/26,460.00 
2008/10/3,230.00 
2008/10/10,390.00 
2008/10/17,-1120.00 
2008/10/24,-580.00 
2008/10/31,-130.00 
2008/11/7,115.00 
2008/11/14,845.00 
2008/11/21,155.00 
2008/11/28,240.00 
2008/12/5,290.00 
2008/12/12,220.00 
2008/12/19,-370.00 
2008/12/26,-670.00 
2009/1/2,-200.00 
2009/1/9,150.00 
2009/1/16,1600.00 
2009/1/23,1310.00 
2009/1/30,750.00 
2009/2/6,-1040.00 
2009/2/13,-560.00 
2009/2/20,-635.00 
2009/2/27,-1240.00 
2009/3/6,410.00 
2009/3/13,-190.00 
2009/3/20,-290.00 
2009/3/27,380.00 
2009/4/3,230.00 
2009/4/10,-600.00 
2009/4/17,-180.00 
2009/4/24,-260.00 
2009/5/1,870.00 
2009/5/8,-370.00 
2009/5/15,-40.00 
2009/5/22,630.00 
2009/5/29,800.00 
2009/6/5,40.00 
2009/6/12,-150.00 
2009/6/19,-10.00 
2009/6/26,1150.00 
2009/7/3,315.00 
2009/7/10,-100.00 
2009/7/17,400.00 
2009/7/24,1410.00 
2009/7/31,-520.00 
2009/8/7,330.00 
2009/8/14,270.00 
2009/8/21,-80.00 
2009/8/28,-400.00 
2009/9/4,720.00 
2009/9/11,400.00 
2009/9/18,600.00 
2009/9/25,70.00 
2009/10/2,1000.00 
2009/10/9,2100.00 
2009/10/16,-730.00 
2009/10/23,-1600.00 
2009/10/30,-1330.00 
2009/11/6,-1230.00 
2009/11/13,-810.00 
2009/11/20,-930.00 
2009/11/27,-20.00 
2009/12/4,-220.00 
2009/12/11,-10.00 
2009/12/18,-100.00 
2009/12/25,-100.00 
2010/1/1,-60.00 
2010/1/8,-1370.00 
2010/1/15,-1020.00 
2010/1/22,280.00 
2010/1/29,1460.00 
2010/2/5,2140.00 
2010/2/12,2940.00 
2010/2/19,750.00 
2010/2/26,-610.00 
2010/3/5,-590.00 
2010/3/12,-820.00 
2010/3/19,-2130.00 
2010/3/26,-2180.00 
2010/4/2,-1630.00 
2010/4/9,-1100.00 
2010/4/16,-140.00 
2010/4/23,-650.00 
2010/4/30,-1150.00 
2010/5/7,-220.00 
2010/5/14,1520.00 
2010/5/21,-510.00 
2010/5/28,1450.00 
2010/6/4,140.00 
2010/6/11,1660.00 
2010/6/18,1900.00 
2010/6/25,2010.00 
2010/7/2,670.00 
2010/7/9,1050.00 
2010/7/16,490.00 
2010/7/23,-810.00 
2010/7/30,-840.00 
2010/8/6,-20.00 
2010/8/13,-670.00 
2010/8/20,410.00 
2010/8/27,-910.00 
2010/9/3,700.00 
2010/9/10,710.00 
2010/9/17,-380.00 
2010/9/24,900.00 
2010/10/1,-540.00 
2010/10/8,250.00 
2010/10/15,1810.00 
2010/10/22,-610.00 
2010/10/29,-620.00 
2010/11/5,-5.00 
2010/11/12,-300.00 
2010/11/19,740.00 
2010/11/26,540.00 
2010/12/3,380.00 
2010/12/10,640.00 
2010/12/17,500.00 
2010/12/24,260.00 
2010/12/31,350.00 
2011/1/7,160.00 
2011/1/14,190.00 
2011/1/21,2490.00 
2011/1/28,1700.00 
2011/2/4,480.00 
2011/2/11,780.00 
2011/2/18,550.00 
2011/2/25,760.00 
2011/3/4,1030.00 
2011/3/11,-100.00 
2011/3/18,-490.00 
2011/3/25,-1030.00 
2011/4/1,-1530.00 
2011/4/8,280.00 
2011/4/15,-830.00 
2011/4/22,940.00 
2011/4/29,2410.00 
2011/5/6,670.00 
2011/5/13,-120.00 
2011/5/20,670.00 
2011/5/27,590.00 
2011/6/3,810.00 
2011/6/10,870.00 
2011/6/17,1130.00 
2011/6/24,870.00 
2011/7/1,1200.00 
2011/7/8,180.00 
2011/7/15,-860.00 
2011/7/22,190.00 
2011/7/29,320.00 
2011/8/5,440.00 
2011/8/12,700.00 
2011/8/19,380.00 
2011/8/26,160.00 
2011/9/2,250.00 
2011/9/9,1000.00 
2011/9/16,70.00 
2011/9/23,480.00 
2011/9/30,550.00 
2011/10/7,1390.00 
2011/10/14,-90.00 
2011/10/21,-220.00 
2011/10/28,-190.00 
2011/11/4,960.00 
2011/11/11,670.00 
2011/11/18,-20.00 
2011/11/25,220.00 
2011/12/2,-240.00 
2011/12/9,-1010.00 
2011/12/16,-730.00 
2011/12/23,-100.00 
2011/12/30,90.00 
2012/1/6,510.00 
2012/1/13,730.00 
2012/1/20,3530.00 
2012/1/27,10.00 
2012/2/3,-3510.00 
2012/2/10,-440.00 
2012/2/17,-90.00 
2012/2/24,20.00 
2012/3/2,-280.00 
2012/3/9,30.00 
2012/3/16,-570.00 
2012/3/23,-190.00 
2012/3/30,190.00 
2012/4/6,250.00 
2012/4/13,1120.00 
2012/4/20,520.00 
2012/4/27,640.00 
2012/5/4,1170.00 
2012/5/11,410.00 
2012/5/18,-640.00 
2012/5/25,-780.00 
2012/6/1,-570.00 
2012/6/8,20.00 
2012/6/15,360.00 
2012/6/22,560.00 
2012/6/29,1970.00 
2012/7/6,2250.00 
2012/7/13,-400.00 
2012/7/20,-600.00 
2012/7/27,460.00 
2012/8/3,-860.00 
2012/8/10,440.00 
2012/8/17,750.00 
2012/8/24,2780.00 
2012/8/31,-540.00 
2012/9/7,-520.00 
2012/9/14,-80.00 
2012/9/21,1010.00 
2012/9/28,3650.00 
2012/10/12,1640.00 
2012/10/19,-2210.00 
2012/10/26,-700.00 
2012/11/2,3790.00 
2012/11/9,-1010.00 
2012/11/16,-750.00 
2012/11/23,-240.00 
2012/11/30,-400.00 
2012/12/7,110.00 
2012/12/14,-1250.00 
2012/12/21,920.00 
2012/12/28,1170.00 
2013/1/4,-1100.00 
2013/1/11,-1300.00 
2013/1/18,-700.00 
2013/1/25,-490.00 
2013/2/1,590.00 
2013/2/8,6620.00 
2013/2/22,-9100.00 
2013/3/1,-50.00 
2013/3/8,-50.00 
2013/3/15,-440.00 
2013/3/22,-470.00 
2013/3/29,-570.00 
2013/4/5,-250.00 
2013/4/12,-170.00 
2013/4/19,-140.00 
2013/4/26,1240.00 
2013/5/3,0.00 
2013/5/10,840.00 
2013/5/17,-350.00 
2013/5/24,1280.00 
2013/5/31,-170.00 
2013/6/7,1600.00 
2013/6/14,920.00 
2013/6/21,280.00 
2013/6/28,250.00 
2013/7/5,460.00 
2013/7/19,497.00 
2013/8/2,625.00 
2013/8/9,200.00 
2013/8/16,475.00 
2013/8/23,720.00 
2013/8/30,415.00 
2013/9/6,-370.00 
2013/9/13,-11.00 
2013/9/20,-80.00 
2013/9/27,1501.00 
2013/10/4,-880.00 
2013/10/11,330.00 
2013/10/18,-445.00 
2013/10/25,-580.00 
2013/11/1,291.00 
2013/11/8,-50.00 
2013/11/15,-150.00 
2013/11/22,590.00 
2013/11/29,170.00 
2013/12/6,-470.00 
2013/12/13,-370.00 
2013/12/27,290.00 
2014/1/3,-290.00 
2014/1/24,3750.00 
2014/1/31,750.00 
2014/2/14,-4500.00 
2014/2/21,-1080.00 
2014/2/28,-1600.00 
2014/3/7,-700.00 
2014/3/14,-400.00 
2014/3/21,-480.00 
2014/3/28,-980.00 
2014/4/4,-620.00 
2014/4/11,550.00 
2014/4/18,-410.00 
2014/4/25,-20.00 
2014/5/2,910.00 
2014/5/9,-600.00 
2014/5/16,440.00 
2014/5/23,1200.00 
2014/5/30,200.00 
2014/6/6,730.00 
2014/6/13,1040.00 
2014/6/20,150.00 
2014/6/27,120.00 
2014/7/4,550.00 
2014/7/11,500.00 
2014/7/18,170.00 
2014/7/25,180.00 
2014/8/1,-110.00 
2014/8/8,-200.00 
2014/8/15,140.00 
2014/8/22,110.00 
2014/8/29,450.00 
2014/9/5,70.00 
2014/9/12,-50.00 
2014/9/19,80.00 
2014/9/26,-110.00 
2014/10/3,50.00 
2014/10/10,160.00 
2014/10/17,0.00 
2014/10/24,0.00 
2014/10/31,0.00 
2014/11/7,0.00 
2014/11/14,0.00 
2014/11/21,100.00 
2014/11/28,350.00 
2014/12/5,300.00 
2014/12/12,50.00 
2015/1/23,500.00 
2015/1/30,550.00 
2015/2/6,900.00 
2015/2/13,2050.00 
2015/2/27,-1420.00 
2015/3/6,-1450.00 
2015/3/13,-530.00 
2015/3/20,-250.00 
2015/3/27,100.00 
2015/4/3,50.00 
2015/4/10,-150.00 
2015/4/17,-150.00 
2015/4/24,-200.00 
2015/6/26,350.00 
2015/7/3,500.00 
2015/7/10,0.00 
2015/7/17,-450.00 
2015/7/24,300.00 
2015/7/31,200.00 
2015/8/7,-50.00 
2015/8/14,50.00 
2015/8/21,1500.00 
2015/8/28,600.00 
2015/9/4,-1500.00 
2015/9/11,800.00 
2015/9/18,-1400.00 
2015/9/25,400.00 
2015/10/2,-100.00 
2015/10/9,400.00 
2015/10/16,-700.00 
2015/10/23,-450.00 
2015/10/30,-250.00 
2015/11/6,0.00 
2015/11/13,0.00 
2015/11/20,100.00 
2015/11/27,0.00 
2015/12/4,500.00 
2015/12/11,-500.00 
2015/12/18,100.00 
2015/12/25,300.00 
2016/1/1,-600.00 
2016/1/8,1900.00 
2016/1/15,400.00 
2016/1/22,3150.00 
2016/1/29,6900.00 
2016/2/5,3300.00 
2016/2/12,1100.00 
2016/2/19,-4450.00 
2016/2/26,-800.00 
2016/3/4,-8400.00 
2016/3/11,-2050.00 
2016/3/18,850.00 
2016/3/25,1800.00 
2016/4/1,150.00 
2016/4/8,-2750.00 
2016/4/15,700.00 
2016/4/22,6800.00 
2016/4/29,-2900.00 
2016/5/6,-2200.00 
2016/5/13,-1100.00 
2016/5/20,500.00 
2016/5/27,700.00 
2016/6/3,200.00 
2016/6/10,-2450.00 
2016/6/17,1750.00 
2016/6/24,3400.00 
2016/7/1,1800.00 
2016/7/8,-6450.00 
2016/7/15,-650.00 
2016/7/22,2653.00 
2016/7/29,3250.00 
2016/8/5,-1615.00 
2016/8/12,900.00 
2016/8/19,155.00 
2016/8/26,3100.00 
2016/9/2,-1735.00 
2016/9/9,-1500.00 
2016/9/16,2551.00 
2016/9/23,9400.00 
2016/9/30,-4201.00 
2016/10/14,-3550.00 
2016/10/21,955.00 
2016/10/28,5950.00 
2016/11/4,-1041.00 
2016/11/11,-3000.00 
2016/11/18,4250.00 
2016/11/25,400.00 
2016/12/2,700.00 
2016/12/9,-5350.00 
2016/12/16,2500.00 
2016/12/23,3750.00 
2016/12/30,-2450.00 
2017/1/6,-5950.00 
2017/1/13,1000.00 
2017/1/20,11300.00 
2017/1/27,-2500.00 
2017/2/3,-700.00 
2017/2/10,-6250.00 
2017/2/17,-1500.00 
2017/2/24,1550.00 
2017/3/3,-2800.00 
2017/3/10,-1100.00 
2017/3/17,-1200.00 
2017/3/24,800.00 
2017/3/31,-2900.00 
2017/4/7,-1000.00 
2017/4/14,700.00 
2017/4/21,1700.00 
2017/4/28,700.00 
2017/5/5,100.00 
2017/5/12,-1200.00 
2017/5/19,1600.00 
2017/5/26,-300.00 
2017/6/2,300.00 
2017/6/9,-100.00 
2017/6/16,4100.00 
2017/6/23,-600.00 
2017/6/30,-3300.00 
2017/7/7,-2500.00 
2017/7/14,-700.00 
2017/7/21,5100.00 
2017/7/28,2800.00 
2017/8/4,-400.00 
2017/8/11,-300.00 
2017/8/18,1100.00 
2017/8/25,-3300.00 
2017/9/1,-2800.00 
2017/9/8,-3300.00 
2017/9/15,2600.00 
2017/9/22,4500.00 
2017/9/29,-3600.00 
2017/10/6,-200.00 
2017/10/13,-2200.00 
2017/10/20,5600.00 
