date,rs
2002/1/31,40.00 
2002/2/28,67.00 
2002/3/31,240.00 
2002/4/30,184.00 
2002/5/31,234.00 
2002/6/30,289.00 
2002/7/31,323.00 
2002/8/31,371.00 
2002/9/30,533.00 
2002/10/31,560.00 
2002/11/30,594.00 
2002/12/31,628.00 
2003/1/31,29.00 
2003/2/28,49.00 
2003/3/31,75.00 
2003/4/30,122.00 
2003/5/31,130.00 
2003/6/30,170.00 
2003/7/31,262.00 
2003/8/31,335.00 
2003/9/30,369.00 
2003/10/31,405.00 
2003/11/30,515.00 
2003/12/31,559.00 
2004/1/31,70.00 
2004/2/29,90.00 
2004/3/31,135.00 
2004/4/30,205.00 
2004/5/31,247.00 
2004/6/30,350.00 
2004/7/31,544.00 
2004/8/31,603.00 
2004/9/30,628.00 
2004/10/31,644.00 
2004/11/30,649.00 
2004/12/31,673.00 
2005/1/31,16.00 
2005/2/28,45.00 
2005/3/31,51.00 
2005/4/30,61.00 
2005/5/31,335.00 
2005/6/30,340.00 
2005/7/31,340.00 
2005/8/31,340.00 
2005/9/30,340.00 
2005/10/31,340.00 
2005/11/30,340.00 
2005/12/31,339.00 
2006/1/31,0.00 
2006/2/28,0.00 
2006/3/31,127.00 
2006/4/30,127.00 
2006/5/31,133.00 
2006/6/30,237.00 
2006/7/31,351.00 
2006/8/31,708.00 
2006/9/30,760.00 
2006/10/31,804.00 
2006/11/30,987.00 
2006/12/31,1536.00 
2007/1/31,158.00 
2007/2/28,223.00 
2007/3/31,351.00 
2007/4/30,496.00 
2007/5/31,633.00 
2007/6/30,653.00 
2007/7/31,802.00 
2007/8/31,1058.00 
2007/9/30,1606.00 
2007/10/31,2598.00 
2007/11/30,3615.00 
2007/12/31,4333.00 
2008/1/31,615.00 
2008/2/29,1172.00 
2008/3/31,1539.00 
2008/4/30,1856.00 
2008/5/31,2221.00 
2008/6/30,2406.00 
2008/7/31,2594.00 
2008/8/31,2884.00 
2008/9/30,2934.00 
2008/10/31,2941.00 
2008/11/30,3010.00 
2008/12/31,3324.00 
2009/1/31,14.00 
2009/2/28,62.00 
2009/3/31,181.00 
2009/4/30,318.00 
2009/5/31,556.00 
2009/6/30,746.00 
2009/7/31,1534.00 
2009/8/31,1768.00 
2009/9/30,2067.00 
2009/10/31,2369.00 
2009/11/30,2537.00 
2009/12/31,3350.00 
2010/1/31,519.00 
2010/2/28,885.00 
2010/3/31,1252.00 
2010/4/30,1682.00 
2010/5/31,1935.00 
2010/6/30,2405.00 
2010/7/31,2665.00 
2010/8/31,3084.00 
2010/9/30,3628.00 
2010/10/31,4110.00 
2010/11/30,4832.00 
2010/12/31,5786.00 
2011/1/31,731.00 
2011/2/28,1001.00 
2011/3/31,1558.00 
2011/4/30,2006.00 
2011/5/31,2357.00 
2011/6/30,2677.00 
2011/7/31,2929.00 
2011/8/31,3279.00 
2011/9/30,3515.00 
2011/10/31,3759.00 
2011/11/30,4027.00 
2011/12/31,4377.00 
2012/1/31,81.00 
2012/2/29,310.00 
2012/3/31,875.00 
2012/4/30,1065.00 
2012/5/31,1249.00 
2012/6/30,1495.00 
2012/7/31,1811.00 
2012/8/31,2019.00 
2012/9/30,2177.00 
2012/10/31,2265.00 
2012/11/30,2372.00 
2012/12/31,2508.00 
2013/1/31,244.00 
2013/2/28,409.00 
2013/3/31,617.00 
2013/4/30,891.00 
2013/5/31,1122.00 
2013/6/30,1248.00 
2013/7/31,1376.00 
2013/8/31,1512.00 
2013/9/30,1625.00 
2013/10/31,1703.00 
2013/11/30,1850.00 
2013/12/31,2219.00 
2014/1/31,454.00 
2014/2/28,623.00 
2014/3/31,975.00 
2014/4/30,1557.00 
2014/5/31,1719.00 
2014/6/30,2022.00 
2014/7/31,2354.00 
2014/8/31,2571.00 
2014/9/30,3033.00 
2014/10/31,3312.00 
2014/11/30,3691.00 
2014/12/31,4350.00 
2015/1/31,526.00 
2015/2/28,1068.00 
2015/3/31,1808.00 
2015/4/30,2405.00 
2015/5/31,2989.00 
2015/6/30,4245.00 
2015/7/31,4860.00 
2015/8/31,5339.00 
2015/9/30,5383.00 
2015/10/31,5504.00 
2015/11/30,6072.00 
2015/12/31,7604.00 
2016/1/31,1469.00 
2016/2/29,2279.00 
2016/3/31,2840.00 
2016/4/30,3791.00 
2016/5/31,4864.00 
2016/6/30,6023.00 
2016/7/31,7158.00 
2016/8/31,8233.00 
2016/9/30,9602.00 
2016/10/31,10727.00 
2016/11/30,11588.00 
2016/12/31,12416.00 
2017/1/31,1565.00 
2017/2/28,2135.00 
2017/3/31,2948.00 
2017/4/30,3717.00 
2017/5/31,4228.00 
2017/6/30,4702.00 
2017/7/31,5238.00 
2017/8/31,5891.00 
2017/9/30,6410.00 
